1, 1
1, 2
1, 3
1, 4
1, 5
1, 4
1, 3
2, 3
3, 3
4, 3
5, 3
6, 3
7, 3
7, 2
7, 1
8, 1
9, 1
10, 1
11, 1
11, 2
11, 3
10, 3
9, 3
10, 3
11, 3
11, 4
11, 5
11, 6
11, 7
10, 7
9, 7
9, 6
9, 5
9, 6
9, 7
8, 7
7, 7
7, 6
7, 5
6, 5
5, 5
4, 5
3, 5
4, 5
5, 5
5, 6
5, 7
4, 7
3, 7
2, 7
1, 7
1, 8
1, 9
1, 10
1, 11
1, 10
1, 9
1, 8
1, 7
2, 7
3, 7
3, 8
3, 9
3, 10
3, 11
3, 12
3, 13
2, 13
1, 13
1, 14
1, 15
1, 14
1, 13
2, 13
3, 13
3, 12
3, 11
3, 10
3, 9
3, 8
3, 7
4, 7
5, 7
5, 8
5, 9
5, 8
5, 7
5, 6
5, 5
6, 5
7, 5
7, 6
7, 7
7, 8
7, 9
7, 10
7, 11
6, 11
5, 11
6, 11
7, 11
8, 11
9, 11
9, 12
9, 13
8, 13
7, 13
6, 13
5, 13
6, 13
7, 13
8, 13
9, 13
9, 12
9, 11
10, 11
11, 11
11, 12
11, 13
11, 14
11, 15
10, 15
9, 15
9, 16
9, 17
9, 16
9, 15
10, 15
11, 15
11, 14
11, 13
12, 13
13, 13
13, 14
13, 15
14, 15
15, 15
15, 16
15, 17
14, 17
13, 17
12, 17
11, 17
11, 18
11, 19
10, 19
9, 19
8, 19
7, 19
6, 19
5, 19
5, 18
5, 17
6, 17
7, 17
7, 16
7, 15
7, 16
7, 17
6, 17
5, 17
5, 16
5, 15
4, 15
3, 15
4, 15
5, 15
5, 16
5, 17
5, 18
5, 19
4, 19
3, 19
2, 19
1, 19
1, 18
1, 17
2, 17
3, 17
2, 17
1, 17
1, 18
1, 19
2, 19
3, 19
4, 19
5, 19
5, 20
5, 21
4, 21
3, 21
4, 21
5, 21
5, 22
5, 23
4, 23
3, 23
2, 23
1, 23
1, 22
1, 21
1, 22
1, 23
2, 23
3, 23
3, 24
3, 25
3, 26
3, 27
2, 27
1, 27
1, 26
1, 25
1, 26
1, 27
1, 28
1, 29
2, 29
3, 29
2, 29
1, 29
1, 28
1, 27
2, 27
3, 27
3, 26
3, 25
3, 24
3, 23
4, 23
5, 23
5, 22
5, 21
5, 20
5, 19
6, 19
7, 19
8, 19
9, 19
10, 19
11, 19
11, 20
11, 21
10, 21
9, 21
8, 21
7, 21
8, 21
9, 21
10, 21
11, 21
11, 22
11, 23
12, 23
13, 23
13, 24
13, 25
12, 25
11, 25
10, 25
9, 25
9, 24
9, 23
9, 24
9, 25
8, 25
7, 25
7, 24
7, 23
7, 24
7, 25
6, 25
5, 25
6, 25
7, 25
7, 26
7, 27
6, 27
5, 27
6, 27
7, 27
7, 28
7, 29
6, 29
5, 29
6, 29
7, 29
7, 30
7, 31
6, 31
5, 31
4, 31
3, 31
2, 31
1, 31
1, 32
1, 33
1, 32
1, 31
2, 31
3, 31
3, 32
3, 33
3, 32
3, 31
4, 31
5, 31
5, 32
5, 33
5, 34
5, 35
4, 35
3, 35
4, 35
5, 35
5, 36
5, 37
5, 36
5, 35
6, 35
7, 35
7, 36
7, 37
7, 38
7, 39
6, 39
5, 39
4, 39
3, 39
3, 38
3, 37
3, 38
3, 39
2, 39
1, 39
1, 38
1, 37
1, 36
1, 35
1, 36
1, 37
1, 38
1, 39
2, 39
3, 39
4, 39
5, 39
6, 39
7, 39
7, 38
7, 37
8, 37
9, 37
9, 38
9, 39
10, 39
11, 39
10, 39
9, 39
9, 38
9, 37
10, 37
11, 37
12, 37
13, 37
14, 37
15, 37
15, 38
15, 39
14, 39
13, 39
14, 39
15, 39
15, 38
15, 37
14, 37
13, 37
13, 36
13, 35
14, 35
15, 35
16, 35
17, 35
18, 35
19, 35
19, 36
19, 37
18, 37
17, 37
17, 38
17, 39
17, 38
17, 37
18, 37
19, 37
19, 38
19, 39
20, 39
21, 39
21, 38
21, 37
21, 38
21, 39
20, 39
19, 39
19, 38
19, 37
19, 36
19, 35
20, 35
21, 35
22, 35
23, 35
23, 36
23, 37
23, 38
23, 39
24, 39
25, 39
25, 38
25, 37
25, 38
25, 39
24, 39
23, 39
23, 38
23, 37
23, 36
23, 35
23, 34
23, 33
24, 33
25, 33
25, 34
25, 35
26, 35
27, 35
27, 36
27, 37
27, 38
27, 39
27, 38
27, 37
28, 37
29, 37
29, 38
29, 39
29, 38
29, 37
29, 36
29, 35
29, 36
29, 37
28, 37
27, 37
27, 36
27, 35
26, 35
25, 35
25, 34
25, 33
26, 33
27, 33
26, 33
25, 33
24, 33
23, 33
23, 32
23, 31
24, 31
25, 31
26, 31
27, 31
27, 30
27, 29
28, 29
29, 29
29, 30
29, 31
29, 32
29, 33
29, 32
29, 31
30, 31
31, 31
32, 31
33, 31
34, 31
35, 31
35, 32
35, 33
34, 33
33, 33
32, 33
31, 33
32, 33
33, 33
33, 34
33, 35
32, 35
31, 35
31, 36
31, 37
31, 38
31, 39
31, 38
31, 37
32, 37
33, 37
33, 38
33, 39
33, 38
33, 37
32, 37
31, 37
31, 36
31, 35
32, 35
33, 35
34, 35
35, 35
36, 35
37, 35
37, 36
37, 37
38, 37
39, 37
39, 38
39, 39
38, 39
37, 39
36, 39
35, 39
35, 38
35, 37
35, 38
35, 39
36, 39
37, 39
38, 39
39, 39
39, 40
